City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Punta Arenas,CL,-53.15,-70.9167,39.31,81,40,16.11,scattered clouds
1,Topolobampo,MX,25.6,-109.05,64.98,74,60,4.85,broken clouds
2,Alekseyevsk,RU,57.8406,108.3492,18.46,89,100,6.55,overcast clouds
3,Lebu,CL,-37.6167,-73.65,52.54,78,0,19.98,clear sky
4,Kapaa,US,22.0752,-159.319,82.38,71,40,19.57,scattered clouds
5,San Jose,US,37.3394,-121.895,64.74,41,40,18.41,scattered clouds
6,Ternate,ID,0.8,127.4,83.12,71,91,3.33,overcast clouds
7,Bethel,US,41.3712,-73.414,41.49,90,99,1.01,overcast clouds
8,Tasiilaq,GL,65.6145,-37.6368,21.36,94,100,8.25,overcast clouds
9,Alta Floresta,BR,-9.8756,-56.0861,71.69,96,100,1.19,overcast clouds
10,Busselton,AU,-33.65,115.3333,68.63,52,15,14.54,few clouds
11,Laguna,US,38.421,-121.4238,78.78,32,0,11.5,clear sky
12,Puerto Ayora,EC,-0.7393,-90.3518,76.55,95,100,8.01,overcast clouds
13,Butaritari,KI,3.0707,172.7902,81.54,73,98,11.54,overcast clouds
14,Lompoc,US,34.6391,-120.4579,59.56,86,100,13.8,overcast clouds
15,Srednekolymsk,RU,67.45,153.6833,5.85,85,87,4.88,overcast clouds
16,Gat,IL,31.61,34.7642,68.4,48,0,6.71,clear sky
17,Coihaique,CL,-45.5752,-72.0662,51.75,58,75,9.22,light rain
18,Kashi,CN,39.4547,75.9797,54.61,37,1,8.95,clear sky
19,Vaini,TO,-21.2,-175.2,78.96,89,75,6.91,broken clouds
20,Viking,CA,53.1001,-111.7684,51.66,50,68,7.34,broken clouds
21,Rikitea,PF,-23.1203,-134.9692,77.76,64,100,9.66,overcast clouds
22,Pangkalanbuun,ID,-2.6833,111.6167,88.12,60,30,1.7,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,37.06,87,20,11.5,few clouds
24,Ribeira Grande,PT,38.5167,-28.7,59.9,76,100,15.77,overcast clouds
25,Georgetown,MY,5.4112,100.3354,82.33,92,20,5.01,few clouds
26,Araouane,ML,18.9048,-3.5265,82.83,14,2,5.95,clear sky
27,Shiyan,CN,32.6475,110.7781,64.6,61,100,2.95,light rain
